EmpId,LeaveTaken,FromDate,ToDate,Reason
emp62694,6,2018-02-26 23:36:58,2018-03-04 23:36:58,Paternity
emp64854,5,2018-04-04 11:23:41,2018-04-09 11:23:41,Vacation
emp66309,14,2018-03-06 03:00:32,2018-03-20 03:00:32,Maternity
emp42390,22,2018-02-21 05:31:01,2018-03-15 05:31:01,Paternity
emp64854,16,2018-02-03 21:08:35,2018-02-19 21:08:35,Paternity
emp78201,7,2018-04-04 22:54:23,2018-04-11 22:54:23,Sick
emp77189,11,2018-09-11 18:28:07,2018-09-22 18:28:07,Paternity
emp16724,5,2018-05-04 19:32:42,2018-05-09 19:32:42,Parental
emp75112,2,2018-01-06 07:52:26,2018-01-08 07:52:26,Maternity
emp66309,6,2018-06-05 23:36:04,2018-06-11 23:36:04,Sick
